ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,2022-04-19,BBB,High,1744489,1.72,28321000000.0
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,510,303,255,1068,2022-04-17,BBB,High,1467858,6.13,20981000000.0
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,2022-04-19,BB,Medium,277135,30.06,5849000000.0
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,2022-04-18,BBB,High,851968,0.39,2943400000.0
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,2022-04-18,BBB,High,1335258,0.64,4343730000.0
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,2022-04-18,BBB,High,1300514,2.4,1650000000.0
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,560,350,345,1255,2022-04-16,A,High,21076,3.73,2545000000.0
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,203,200,205,608,2022-07-01,B,Medium,1420529,-1.52,102505018.0
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,270,211,265,746,2022-04-16,B,Medium,6201,0.19,9037000000.0
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,220,221,300,741,2022-04-16,B,Medium,8177,0.0,0.0
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,311,256,218,785,2022-04-16,BB,Medium,1158114,-2.38,33627000.0
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,500,300,223,1023,2022-04-16,BBB,High,824142,1.24,237572000.0
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,2022-04-16,BB,Medium,320193,6.11,170782000000.0
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,,,BBB,High,B,Medium,B,Medium,410,286,240,936,2022-06-11,BBB,High,943034,0.22,7822000.0
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/358b0921e9d761a529cffa812e99b140f4bb9c2e1e63bfeee3a4ea7165257e7b.png,https://aadibio.com/,B,Medium,B,Medium,B,Medium,200,201,203,604,2022-06-11,B,Medium,1422142,-2.69,13881000.0
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/33b2a5a8-80d1-11ea-8de8-00000000092a.png,https://abeonatherapeutics.com/,B,Medium,BB,Medium,BB,Medium,205,306,310,821,2022-04-16,BB,Medium,318306,-5.53,964000.0
abnb,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,2022-06-10,A,High,1559720,2.79,6900000000.0
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f1081a3d8031ad222b050bbbcfef7a073cea50638ad028f1fd31c5ca934f3820.png,https://acumenpharm.com/,B,Medium,B,Medium,B,Medium,205,201,200,606,2022-06-11,B,Medium,1576885,0.0,0.0
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/d030f309b5a348085ba6297eadf507c1d7410dbf605e6147f34eec997f6f073f.png,https://www.absci.com/,B,Medium,B,Medium,B,Medium,205,224,230,659,2022-06-11,B,Medium,1672688,0.0,0.0
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2b1c9fbcfafa70dcfa10247ad6ebe12858ca5878a4c90e32840a2080a507eb3d.png,https://abvcpharma.com/,B,Medium,B,Medium,B,Medium,220,212,205,637,2022-06-11,B,Medium,1173313,-5.2,683368.0
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,230,230,305,765,2022-04-16,BB,Medium,1070494,-1.34,507069000.0
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,255,254,235,744,2022-06-10,B,Medium,1481646,-1.93,141002000.0
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,215,211,305,731,2022-04-16,B,Medium,1720580,0.0,0.0
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,540,354,345,1239,2022-06-10,A,High,1703057,0.5,418988000.0
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,290,300,250,840,2022-04-16,BB,Medium,351569,0.0,0.0
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/6147e0afabb6d97c0483d7921c255166e49adccf043d5bf956068f9c4c546cae.png,https://www.achillestx.com/,B,Medium,B,Medium,B,Medium,230,288,285,803,2022-06-10,BB,Medium,1830749,0.0,0.0
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/4b6b2e5a4cfce5b1377719219ab5a354a629c9b9fb43067b5993423152fef1fb.png,https://www.acadiahealthcare.com/,BB,Medium,B,Medium,B,Medium,330,231,220,781,2022-04-16,BB,Medium,1520697,2.98,2510199000.0
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,https://www.aciworldwide.com/,A,High,BB,Medium,BB,Medium,500,327,300,1127,2022-04-16,BBB,High,935036,1.24,725830000.0
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,https://www.axcelis.com/,A,High,BB,Medium,B,Medium,515,306,260,1081,2022-04-16,BBB,High,1113232,5.46,401790000.0
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,https://www.acimmune.com/,B,Medium,B,Medium,BB,Medium,250,296,305,851,2022-04-16,BB,Medium,1651625,0.0,0.0
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,http://achievelifesciences.com/,B,Medium,B,Medium,BB,Medium,215,222,305,742,2022-06-10,B,Medium,949858,0.0,0.0
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/bd3e9ce4b1a48aa839d6a0ff155fc165309d14773a651b8fb39fe880212870b2.png,https://www.acmrcsh.com/,BBB,High,B,Medium,BB,Medium,410,232,325,967,2022-06-10,BBB,High,1680062,0.59,183615000.0
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/fa34ff3a5a42ae240b90281cb94d9f9dc73fe2b24a600c551b6d7f0e200dd0e8.png,https://www.acnb.com/,B,Medium,B,Medium,B,Medium,220,219,215,654,2022-04-16,B,Medium,715579,0.0,0.0
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,https://www.aclaristx.com/,B,Medium,B,Medium,B,Medium,230,207,220,657,2022-04-16,B,Medium,1557746,-1.33,17792000.0
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static4.finnhub.io/file/publicdatany2/stock_logo/ACT_5038081287.png,https://enactmi.com/,A,High,BB,Medium,BB,Medium,540,328,315,1183,2022-04-20,BBB,High,1823529,0.0,0.0
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,http://acaciaresearch.com/,B,Medium,B,Medium,B,Medium,200,200,275,675,2022-04-16,B,Medium,934549,-3.13,21835000.0
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/d1e18ee9f9b952b21566aa5cf9af8ffba761e9085e9de40fbe30fa6b65b8d785.png,https://www.acvauctions.com/,B,Medium,B,Medium,BB,Medium,235,262,315,812,2022-06-10,BB,Medium,1637873,-0.65,184876000.0
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5dc6728a7d01cd93139ce716cce8147be340b68b00025bc3471e9350c8487792.png,https://www.adagene.com/,B,Medium,BB,Medium,BB,Medium,295,301,305,901,2022-06-10,BBB,High,1818838,0.0,0.0
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/dae37e820f89b2050d5105bea48bf5d491196bc6ef42b3249f3bf29ca14589ca.png,https://www.acurxpharma.com/,B,Medium,BB,Medium,BB,Medium,235,301,305,841,2022-06-11,BB,Medium,1736243,0.0,0.0
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,https://www.adobe.com/,B,Medium,B,Medium,B,Medium,200,221,200,621,2022-04-16,B,Medium,796343,10.1,15441000000.0
