ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510,316,321,1147,2022-04-19,BBB,High,1744489,1.72,28321000000.0
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",OTHERS,A,High,BB,Medium,B,Medium,510,303,255,1068,2022-04-17,BBB,High,1467858,6.13,20981000000.0
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",OTHERS,B,Medium,BB,Medium,B,Medium,255,385,240,880,2022-04-19,BB,Medium,277135,30.06,5849000000.0
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570,298,303,1171,2022-04-18,BBB,High,851968,0.39,2943400000.0
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492,310,250,1052,2022-04-18,BBB,High,1335258,0.64,4343730000.0
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547,318,313,1178,2022-04-18,BBB,High,1300514,2.4,1650000000.0
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560,350,345,1255,2022-04-16,A,High,21076,3.73,2545000000.0
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,203,200,205,608,2022-07-01,B,Medium,1420529,-1.52,102505018.0
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,270,211,265,746,2022-04-16,B,Medium,6201,0.19,9037000000.0
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220,221,300,741,2022-04-16,B,Medium,8177,0.0,0.0
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,BB,Medium,B,Medium,B,Medium,311,256,218,785,2022-04-16,BB,Medium,1158114,-2.38,33627000.0
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,B,Medium,500,300,223,1023,2022-04-16,BBB,High,824142,1.24,237572000.0
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,355,281,255,891,2022-04-16,BB,Medium,320193,6.11,170782000000.0
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BBB,High,B,Medium,B,Medium,410,286,240,936,2022-06-11,BBB,High,943034,0.22,7822000.0
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,201,203,604,2022-06-11,B,Medium,1422142,-2.69,13881000.0
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,205,306,310,821,2022-04-16,BB,Medium,318306,-5.53,964000.0
abnb,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,A,High,BBB,High,505,570,400,1475,2022-06-10,A,High,1559720,2.79,6900000000.0
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205,201,200,606,2022-06-11,B,Medium,1576885,0.0,0.0
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,B,Medium,B,Medium,205,224,230,659,2022-06-11,B,Medium,1672688,0.0,0.0
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,220,212,205,637,2022-06-11,B,Medium,1173313,-5.2,683368.0
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,230,230,305,765,2022-04-16,BB,Medium,1070494,-1.34,507069000.0
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,255,254,235,744,2022-06-10,B,Medium,1481646,-1.93,141002000.0
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215,211,305,731,2022-04-16,B,Medium,1720580,0.0,0.0
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,BB,Medium,540,354,345,1239,2022-06-10,A,High,1703057,0.5,418988000.0
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,290,300,250,840,2022-04-16,BB,Medium,351569,0.0,0.0
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,230,288,285,803,2022-06-10,BB,Medium,1830749,0.0,0.0
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,BB,Medium,B,Medium,B,Medium,330,231,220,781,2022-04-16,BB,Medium,1520697,2.98,2510199000.0
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500,327,300,1127,2022-04-16,BBB,High,935036,1.24,725830000.0
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,515,306,260,1081,2022-04-16,BBB,High,1113232,5.46,401790000.0
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250,296,305,851,2022-04-16,BB,Medium,1651625,0.0,0.0
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215,222,305,742,2022-06-10,B,Medium,949858,0.0,0.0
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,B,Medium,BB,Medium,410,232,325,967,2022-06-10,BBB,High,1680062,0.59,183615000.0
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,220,219,215,654,2022-04-16,B,Medium,715579,0.0,0.0
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,230,207,220,657,2022-04-16,B,Medium,1557746,-1.33,17792000.0
